questionname,questiontext,A,B,C,D,Answer 1,Answer 2
Que No 1,Green chemistry is also called as,Life chemistry,Environmental chemistry,Organic chemistry,Sustainable chemistry,d,
Que No 2,An ideal solvent facilitates the,Mass transfer,Dissolving property,Combustion,Titration,a,
Que No 3,A desirable green solvent should be,Costly,Toxic,Readily available,Synthetic,c,
Que No 4,The green solvent maximises the atom,Molecular weight,Electronic configuration,Velocity,Efficiency,d,
Que No 5,What is the percentage atom utilisation?,(mole wt of desired product*100)/mole wt of (desired product+total product),(mole wt of desired product*100)/mole wt of (desired product),(mole wt of desired product*100)/mole wt of (desired product+used product),(mole wt of desired product*100)/mole wt of (desired product+by product),d,
Que No 6,Which of the given methods are greener than the conventional methods?,Micro waves,Electromagnetic waves,Ultra violet waves,Radio waves,a,
Que No 7,Self thermo regulated systems are called as -------,Green methodologies,Green synthesis,Green principles,Green concepts,a,
Que No 8,Which is the fundamental advantage of the sono chemistry in organic synthesis without solvents?,High yields,High energy requirements,Use of solvents,High wastes,a,
Que No 9,One of the principles of green chemistry says that to produce ------ goods,Harmful,Commercial,Safer,Most used,c,
Que No 10,"After the use of chemicals, we must-------- them properly",Use,Reuse,Dispose,Store,c,
Que No 11,"Green chemistry applies across the -----------of a chemical product like design, manufacture and use.",Life cycle,Properties,Uses,Efficiency,a,
Que No 12,We must use feedstock derived from annually renewable resources or from -------,Chemicals,Organic compounds,Abundant waste,Plants,c,
Que No 13,Green chemistry improves ----------- of chemical manufacturers,Competitiveness,Easiness of production,Services,Chemicals,a,
Que No 14,Green Chemistry reduces the use of ---------,Liquid fuels,Energy,Gaseous fuels,Solid fuels,b,
Que No 15,Green Chemistry reduces the---------- and protects the environment.,Pollution,Temperature,Air,Water,a,
Que No 16,"According to the green chemistry, the chemical involved in the production must be ---------",Non toxic,Toxic,Highly toxic,Produces the toxic by products,a,
Que No 17,The green synthesis methods should have ----------,Low efficiency,High harmful products,Low energy requirements,Low atom efficiency,c,
Que No 18,Green synthesis method is-------- than the conventional method,More costly,More efficient,Slower,Less efficient,b,
Que No 19,Green chemistry is the process to design chemical reaction in ----------,Environment friendly manner,Industrial friendly manner,Hazardous manner,All of the mentioned,a,
Que No 20,"Many beneficial chemicals such as pharmaceutical,agricultural chemicals, and various plastics are obtained by -------",Physical process,Chemical process,Environmental process,Biological process,c,
Que No 21,C2H4 +1/2 O2 ? C2H4O(Ethylene oxide). This reaction will takes place under presence of catalyst. Find out the %atom economy,25%,50%,75%,100%,d,
Que No 22,The atom economy obtained for green synthesis is in the range of ---------,62-70%,72-82%,40-50%,90-100%,b,
Que No 23,Micro fluid reactor will minimise -------,Solvent waste,Efficiency,No. of molecules,No. of collisions,a,
Que No 24,Which of the following is the greenest solvent?,Formaldehyde,Benzene,Ethanol,Water,d,
Que No 25,The green synthesis methods should have--------,Low efficiency,High harmful product,Low energy requirement,Low atom efficiency,c,
Que No 26,which of the following is Not one of the twelve principles of Green chemistry?,using renewable feed stock,Designing safer chemicals and products,Maximizing atom economy,Avoiding the use of catalyst,d,
Que No 27,The term which microbial refers to the breakup within a compound due to microbial activity is-------,Microbial degradation,Agro degradation.,Photo degradation,Decomposition,a,
Que No 28,The term used to measure a product on person’s environmental impact is---------,Handprint,CO2 print,Footprint,Hazardous print,c,
Que No 29,In green synthesis by avoiding harmful by products the catalyst used is ----------,Tungsten,Benzene,Cyclo hexane,Adipic acid,a,
